Iniciativa,Tipo,Estagio,Âmbito,Periodicidade,Estado,Município,latitude,longitude
"Tempero No Forte- Festival De Cultura E Gastronomia De Salvador, Praia Do Forte  E Litoral Norte- Bahia",Evento / Festival;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,BA,Salvador,-12.9718,-38.5011
"Tempero No Forte- Festival De Cultura E Gastronomia De Salvador, Praia Do Forte  E Litoral Norte- Bahia",Evento / Festival;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,BA,Mata de São João,-12.5307,-38.3009
Porto Alegre Capital Das Microcervejarias,Roteiro Gastronômico;Produto Turístico de Gastronomia;,Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Mensal,RS,Porto Alegre,-30.0318,-51.2065
A Caiçara,Evento / Festival;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Municipal / Local,Permanente,PR,Curitiba,-25.4195,-49.2646
Ambrosia Evento Gastronômico,Evento / Festival;Roteiro Gastronômico;,Desenvolvimento (iniciativa com menos de 2 anos),Estadual,Anual,PE,,-8.38,-37.86
Festival Gastronômico De Rolândia,Evento / Festival;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Municipal / Local,Anual,PR,Rolândia,-23.3101,-51.3659
Festival Gastronômico De Rolândia,Evento / Festival;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Municipal / Local,Anual,PR,Cambé,-23.2766,-51.2798
Festival Gastronômico De Rolândia,Evento / Festival;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Municipal / Local,Anual,PR,Arapongas,-23.4153,-51.4259
Brasil Sabor,Evento / Festival;Projeto de Qualificação;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,RN,Natal,-5.79357,-35.1986
Brasil Sabor,Evento / Festival;Projeto de Qualificação;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,RN,Tibau do Sul,-6.1917599999999995,-35.0866
Brasil Sabor,Evento / Festival;Projeto de Qualificação;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,RN,Mossoró,-5.18374,-37.3474
Brasil Sabor,Evento / Festival;Projeto de Qualificação;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,RN,Ceará-Mirim,-5.64323,-35.4247
Brasil Sabor,Evento / Festival;Projeto de Qualificação;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,RN,Extremoz,-5.70143,-35.3048
Brasil Sabor,Evento / Festival;Projeto de Qualificação;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,RN,Nísia Floresta,-6.0932900000000005,-35.1991
Brasil Sabor,Evento / Festival;Projeto de Qualificação;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,RN,Parnamirim,-5.91116,-35.271
Bocuse D'Or Brasil,Evento / Festival;Projeto de Qualificação;,Consolidada (geralmente com mais de 2 anos),Internacional,Anual,SP,,-22.19,-48.79
Podcast: Radar Do Turismo Gastronômico,Projeto Promocional;Roteiro Gastronômico;,Desenvolvimento (iniciativa com menos de 2 anos),Estadual,Anual,PA,Belém,-1.4554,-48.4898
Festival Do Pinhão - Rota Das Colônias,Evento / Festival;,Desenvolvimento (iniciativa com menos de 2 anos),Estadual,Anual,PR,São José dos Pinhais,-25.5313,-49.2031
Taubateamo Gastronomia,Evento / Festival;,Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Anual,SP,Taubaté,-23.0104,-45.5593
Bares Centenarios,Roteiro Gastronômico;,Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Permanente,RJ,Rio de Janeiro,-22.9129,-43.2003
Pisa Da Uva No Lagar,Evento / Festival;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Estadual,Permanente,SP,São Roque,-23.5226,-47.1357
Festival De Gastronomia Caiçara,Evento / Festival;,Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Anual,PR,Pontal do Paraná,-25.6735,-48.5111
Festival De Gastronomia Caiçara,Evento / Festival;,Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Anual,PR,Matinhos,-25.8237,-48.549
Rota Queijos E Vinhos,Roteiro Gastronômico;Produto Turístico de Gastronomia;,Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Mensal,PR,,-24.89,-51.55
Circuito Gastronomico,Evento / Festival;Projeto Social;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Municipal / Local,Anual,AL,Barra de São Miguel,-9.83842,-35.9057
