Iniciativa,Tipo,Descrição,Estagio,Âmbito,Periodicidade,Estado,Município,Links Relacionados,latitude,longitude,Categoria
"Tempero No Forte- Festival De Cultura E Gastronomia De Salvador, Praia Do Forte  E Litoral Norte- Bahia",Evento / Festival;,"O Tempero é um Festival Multicultural que acontece em Salvador e Praia do Forte e envolve os segmentos de Turismo, Gastronomia e Cultura, com 18 edições na Bahia. É composto de um  Circuito nos Restaurantes (11 dias), onde Chefs e cozinheiros criam um prato com o tema do Festival, que a cada ano valoriza um ingrediente baiano e brasileiro. Tem também  2 dias de evento cultural reunindo Música, Arte, Moda e Design, Cozinha Show e Stands de Comidinhas com Chefs. O Tempero  tem as chancelas da Lei de Incentivo Federal, art 18 e da Lei Estadual Fazcultura. Foi eleito como a terceira maior atração da região, junto com o São João e Reveillon, através de Pesquisa da FGV, Ministério do Turismo e Sebrae Nacional, e em 2019 fez parte do Calendário Nacional de Eventos do Ministério do Turismo.  É um produto cultural e turístico que movimenta a economia criativa, gerando renda às comunidades locais e às pequenas e médias empresas, atraindo um público de alto e médio poder aquisitivo. Valoriza a Sustentabilidade Social e Econômica e contrata Mão de Obra e Grupos Culturais Locais. Tem como legado, a “Casa de Farinha”, em Praia do Forte, montada pelo Festival em 2006, que virou equipamento turístico, gerando renda à famílias locais.  A cada edição, muitos dos Pratos criados para o Festival, permanecem nos cardápios dos restaurantes participantes.",Consolidada (geralmente com mais de 2 anos),Estadual,Anual,BA,Salvador,https://www.digabahia.com.br/tempero-no-forte-2019-leva-90-de-ocupacao-hoteleira-para-praia-do-forte-e-muitos-pratos-permanecem-no-cardapio/ ;https://praiadoforte.org.br/hotel/2d-comunicacao-promocao-e-eventos/servicos/diversos;http://www.aldeianago.com.br/noticias2/22964-musica-instrumental-sera-a-trilha-sonora-do-14o-festival-cultural-e-gastronomico-tempero-no-forte;http://www.doistercos.com.br/festival-cultural-e-gastronomico-tempero-no-forte-chega-a-sua-14a-edicao-com-muitas-novidades-e-atracoes/;http://ssaporestefanodiaz.blogspot.com/2019/12/tempero-no-forte-2019-leva-90-de.html;http://blogs.tvaratu.com.br/comsabor/2019/11/19/musica-instrumental-sera-a-trilha-sonora-do-14o-festival-cultural-e-gastronomico-tempero-no-forte/  ;http://curtindoemsalvador.com.br/musica-instrumental-sera-a-trilha-sonora-do-14o-festival-cultural-e-gastronomico-tempero-no-forte/  ;https://vibes.vc/eventos/14o-festival-cultural-e-gastronomico-tempero-no-forte/  ;https://newsba.com.br/2019/11/21/mercado-do-forte-reune-microempreendedores-do-litoral-norte-da-bahia/    ;,-12.9718,-38.5011,A
"Tempero No Forte- Festival De Cultura E Gastronomia De Salvador, Praia Do Forte  E Litoral Norte- Bahia",Evento / Festival;,"O Tempero é um Festival Multicultural que acontece em Salvador e Praia do Forte e envolve os segmentos de Turismo, Gastronomia e Cultura, com 18 edições na Bahia. É composto de um  Circuito nos Restaurantes (11 dias), onde Chefs e cozinheiros criam um prato com o tema do Festival, que a cada ano valoriza um ingrediente baiano e brasileiro. Tem também  2 dias de evento cultural reunindo Música, Arte, Moda e Design, Cozinha Show e Stands de Comidinhas com Chefs. O Tempero  tem as chancelas da Lei de Incentivo Federal, art 18 e da Lei Estadual Fazcultura. Foi eleito como a terceira maior atração da região, junto com o São João e Reveillon, através de Pesquisa da FGV, Ministério do Turismo e Sebrae Nacional, e em 2019 fez parte do Calendário Nacional de Eventos do Ministério do Turismo.  É um produto cultural e turístico que movimenta a economia criativa, gerando renda às comunidades locais e às pequenas e médias empresas, atraindo um público de alto e médio poder aquisitivo. Valoriza a Sustentabilidade Social e Econômica e contrata Mão de Obra e Grupos Culturais Locais. Tem como legado, a “Casa de Farinha”, em Praia do Forte, montada pelo Festival em 2006, que virou equipamento turístico, gerando renda à famílias locais.  A cada edição, muitos dos Pratos criados para o Festival, permanecem nos cardápios dos restaurantes participantes.",Consolidada (geralmente com mais de 2 anos),Estadual,Anual,BA,Mata de São João,https://www.digabahia.com.br/tempero-no-forte-2019-leva-90-de-ocupacao-hoteleira-para-praia-do-forte-e-muitos-pratos-permanecem-no-cardapio/ ;https://praiadoforte.org.br/hotel/2d-comunicacao-promocao-e-eventos/servicos/diversos;http://www.aldeianago.com.br/noticias2/22964-musica-instrumental-sera-a-trilha-sonora-do-14o-festival-cultural-e-gastronomico-tempero-no-forte;http://www.doistercos.com.br/festival-cultural-e-gastronomico-tempero-no-forte-chega-a-sua-14a-edicao-com-muitas-novidades-e-atracoes/;http://ssaporestefanodiaz.blogspot.com/2019/12/tempero-no-forte-2019-leva-90-de.html;http://blogs.tvaratu.com.br/comsabor/2019/11/19/musica-instrumental-sera-a-trilha-sonora-do-14o-festival-cultural-e-gastronomico-tempero-no-forte/  ;http://curtindoemsalvador.com.br/musica-instrumental-sera-a-trilha-sonora-do-14o-festival-cultural-e-gastronomico-tempero-no-forte/  ;https://vibes.vc/eventos/14o-festival-cultural-e-gastronomico-tempero-no-forte/  ;https://newsba.com.br/2019/11/21/mercado-do-forte-reune-microempreendedores-do-litoral-norte-da-bahia/    ;,-12.5307,-38.3009,A
Porto Alegre Capital Das Microcervejarias,Roteiro Gastronômico;Produto Turístico de Gastronomia;,Porto Alegre é hoje a capital das Microcervejarias com o maior número de estabelecimentos registrados no Brasil (39 estabelecimentos). No 4º Distrito se concentram a maioria delas com seus bares. Realizamos o tour cervejeiro e o porto cervejeiro na região com visitação as fábricas e bares.,Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Mensal,RS,Porto Alegre,https://www.jornaldocomercio.com/_conteudo/2017/04/economia/558916-tour-dos-cervejeiros-no-linha-turismo-tera-edicao-mensal-em-porto-alegre.html;https://www.prefeitura.poa.br/smde/noticias/porto-cervejeiro-testa-roteiro-que-liga-microcervejarias;,-30.0318,-51.2065,A
A Caiçara,Evento / Festival;Roteiro Gastronômico;Produto Turístico de Gastronomia;,"Restaurante de cozinha típica do litoral paranaenese, localizado no centro histórico de Curitiba, que faz diversos eventos gastronômicos e musicais.",Consolidada (geralmente com mais de 2 anos),Municipal / Local,Permanente,PR,Curitiba,https://cbncuritiba.com/festival-de-inverno-de-curitiba-e-atracao-no-final-de-semana/amp/?fbclid=IwAR2RFMwk_xflMuOzf4Td3g1zhN49SJaQ6tALbERN05kVDxRwj_Ut04oASsM;,-25.4195,-49.2646,A
Ambrosia Evento Gastronômico,Evento / Festival;Roteiro Gastronômico;,"A 1a edição do Ambrosia evento gastronômico, vai promover um intercâmbio gastronômico entre 08 conceituados chefs nacionais e internacionais. Uma conexão inesquecível com o mundo e a boa alimentação.",Desenvolvimento (iniciativa com menos de 2 anos),Estadual,Anual,PE,,0;0;,-8.38,-37.86,A
Festival Gastronômico De Rolândia,Evento / Festival;Produto Turístico de Gastronomia;,"Festival inclui diversos empreendimentos locais, com pratos específicos de cada estabelecimento, atendendo no período do festival com preços diferenciados para proporcionar ao turistas a oportunidade de conhecer o máximo de estabelecimentos no período.  o Festival tem um lançamento, que ocorre em um centro de eventos, onde todos os participantes oferecem a degustação de seus pratos, promovendo o local, os estabelecimentos e os atrativos turísticos da cidade por meio de apresentações típicas e exposição dos roteiros turísticos locais.",Consolidada (geralmente com mais de 2 anos),Municipal / Local,Anual,PR,Rolândia,https://amp.bonde.com.br/entretenimento/shows-eventos/rolandia-promove-festival-gastronomico-com-culinaria-internacional-448556.html;https://www.jornalderolandia.com.br/noticias/5591-festival+gastronomico+de+rolandia+ja+comecou;,-23.3101,-51.3659,D
Festival Gastronômico De Rolândia,Evento / Festival;Produto Turístico de Gastronomia;,"Festival inclui diversos empreendimentos locais, com pratos específicos de cada estabelecimento, atendendo no período do festival com preços diferenciados para proporcionar ao turistas a oportunidade de conhecer o máximo de estabelecimentos no período.  o Festival tem um lançamento, que ocorre em um centro de eventos, onde todos os participantes oferecem a degustação de seus pratos, promovendo o local, os estabelecimentos e os atrativos turísticos da cidade por meio de apresentações típicas e exposição dos roteiros turísticos locais.",Consolidada (geralmente com mais de 2 anos),Municipal / Local,Anual,PR,Cambé,https://amp.bonde.com.br/entretenimento/shows-eventos/rolandia-promove-festival-gastronomico-com-culinaria-internacional-448556.html;https://www.jornalderolandia.com.br/noticias/5591-festival+gastronomico+de+rolandia+ja+comecou;,-23.2766,-51.2798,D
Festival Gastronômico De Rolândia,Evento / Festival;Produto Turístico de Gastronomia;,"Festival inclui diversos empreendimentos locais, com pratos específicos de cada estabelecimento, atendendo no período do festival com preços diferenciados para proporcionar ao turistas a oportunidade de conhecer o máximo de estabelecimentos no período.  o Festival tem um lançamento, que ocorre em um centro de eventos, onde todos os participantes oferecem a degustação de seus pratos, promovendo o local, os estabelecimentos e os atrativos turísticos da cidade por meio de apresentações típicas e exposição dos roteiros turísticos locais.",Consolidada (geralmente com mais de 2 anos),Municipal / Local,Anual,PR,Arapongas,https://amp.bonde.com.br/entretenimento/shows-eventos/rolandia-promove-festival-gastronomico-com-culinaria-internacional-448556.html;https://www.jornalderolandia.com.br/noticias/5591-festival+gastronomico+de+rolandia+ja+comecou;,-23.4153,-51.4259,C
Brasil Sabor,Evento / Festival;Projeto de Qualificação;Roteiro Gastronômico;Produto Turístico de Gastronomia;,"Tradicional no País, o Festival Brasil Sabor visa valorizar a gastronomia brasileira, estimulando os restaurantes a criarem novas receitas utilizando técnicas de preparo e ingredientes locais. Em 2021, o Festival chega à 15ª edição, sendo realizado pela primeira vez em formato híbrido: com os pratos servidos nos restaurantes e também no modelo delivery. Além da valorização à pluralidade gastronômica do nosso País, o Brasil Sabor também se consolida como um momento oportuno para divulgação das casas participantes, que aproveitam não só para atrair e fidelizar a clientela, mas também para ouvir a opinião do público e divulgar ações e boas práticas, sendo um forte canal de comunicação com a sociedade",Consolidada (geralmente com mais de 2 anos),Estadual,Anual,RN,Natal,https://g1.globo.com/rn/rio-grande-do-norte/o-que-fazer-em-natal-e-regiao/noticia/2019/05/26/em-natal-arena-das-dunas-recebe-a-14a-edicao-do-festival-brasil-sabor.ghtml;http://www.tribunadonorte.com.br/noticia/segunda-fase-do-festival-brasil-sabor-chega-ao-arena/450187;,-5.79357,-35.1986,A
Brasil Sabor,Evento / Festival;Projeto de Qualificação;Roteiro Gastronômico;Produto Turístico de Gastronomia;,"Tradicional no País, o Festival Brasil Sabor visa valorizar a gastronomia brasileira, estimulando os restaurantes a criarem novas receitas utilizando técnicas de preparo e ingredientes locais. Em 2021, o Festival chega à 15ª edição, sendo realizado pela primeira vez em formato híbrido: com os pratos servidos nos restaurantes e também no modelo delivery. Além da valorização à pluralidade gastronômica do nosso País, o Brasil Sabor também se consolida como um momento oportuno para divulgação das casas participantes, que aproveitam não só para atrair e fidelizar a clientela, mas também para ouvir a opinião do público e divulgar ações e boas práticas, sendo um forte canal de comunicação com a sociedade",Consolidada (geralmente com mais de 2 anos),Estadual,Anual,RN,Tibau do Sul,https://g1.globo.com/rn/rio-grande-do-norte/o-que-fazer-em-natal-e-regiao/noticia/2019/05/26/em-natal-arena-das-dunas-recebe-a-14a-edicao-do-festival-brasil-sabor.ghtml;http://www.tribunadonorte.com.br/noticia/segunda-fase-do-festival-brasil-sabor-chega-ao-arena/450187;,-6.19176,-35.0866,A
